"Enc_Id","Enc_Enf_Facility_Id","Enc_Facility_Name","Enc_Board_Id","Enc_Program_Id","Enc_Nov_Number","Enc_Ea_Number","Enc_Reg_Fac_Num","Enc_Pmt_Pc_Num","Enc_Ro_Enf_Rep_Name","Enf_Case_Mgr","DES_REC_CODE","Enc_Action_Id","Enc_Action_Name","Enc_Status_Id","Enc_Status_Name","Enc_Status_Comments","Enc_Severity_Id","Enc_Qncr_YN","Enc_Discovery_Date","Enc_Referral_Date","Enc_Nov_Date","Enc_Meeting_Date","Enc_Draft_Action_Date","Enc_Draft_Release_Date","Enc_Rp_Signature_Date","Enc_Public_Notice_Begins","Enc_Public_Notice_Ends","Enc_Executed_Date","Enc_Terminated_Date","Enc_Increment","Enc_Order_Hyperlink","Enc_Additional_Comments","AAC_ID","Admin_Action_Code_Desc","AAC_ACTIVE_YN","EBD_ID","Borad_Name","EBD_ACTIVE_YN","EAC_ID","EAC_DESCRIPTION","EAC_ACTIVE_YN","ESC_ID","Status_Code_Desc","ESC_ACTIVE_YN","PRG_ID","Program_Name","PRG_ACTIVE_YN","SEV_ID","Severity_Code_Desc","SEV_ACTIVE_YN","ECC_ID","ECC_CASH_CIVIL_CHARGE","ECC_FINAL_SEP_VALUE","ECC_PROPOSED_SEP_VALUE","ESI_DE_CONCURRENCE","ESI_EMERG_PLAN_PREP_YN","ESI_ENVIR_COMPL_PROMO_YN","ESI_ENVIR_REST_PROT_YN","ESI_ID","ESI_POLLU_PREVEN_YN","ESI_POLLU_REDUC_YN","ESI_PUBLIC_HEALTH_YN","ESI_REGION_DIRECTOR_APPR","Sep_Desc","EFC_REGION","COASTAL_ZONE_IND","Enc_Inserted_By","Enc_Changed_By","Enc_Inserted_Date","Enc_Changed_Date","Loaded_Date","Loaded_By"
300000000060,200000000840,"Forest Springs Estates Subdivision",2,13,"W2001-04-V-9001","VR11-0623",,,"Karen Hensley","K Hensley","VRO",1,"Consent Order",19,"Terminated",,1,"N",,2001-04-03,2001-04-03,,,,2001-05-10,,,2001-10-05,2003-10-01,23,,,1,"IFF","Y",2,"Water","Y",1,"Consent Order","Y",19,"Terminated","Y",13,"VWPP","Y",1,"No","Y",300000000060,31000,0,0,,,,,,,,,,,"VRO","N","ENFORCE_DBA",,2011-06-27 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000061,200000001389,"Marshall Construction",3,9,"WC-08-0028","BR10-0223",,,"Robert Steele","R Steele","WCRO",1,"Consent Order",19,"Terminated","CAP permit issued 9/28/10.",,"N",,,2001-04-23,,,2007-11-01,2008-09-12,2008-09-25,2008-10-24,2008-10-30,2011-02-04,,,,1,"IFF","Y",3,"Waste","Y",1,"Consent Order","Y",19,"Terminated","Y",9,"Solid Waste","Y",,,,300000000061,11000,27000,27000,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000062,200000002156,"Thompson",3,9,"WC-01-0061","BR01-0861",,"none","Robert Steele","R Steele","WCRO",3,"Informal RTC",3,"Case Closed (Other)"," Analysis shows no ability to pay for clean-up.  Reassigned to Robert Steele on 8/24/10.  Robert Steele and Jerry Ford visited site on 8/27/10.

ADDITIONAL COMMENTS:
 Analysis shows no ability to pay for clean-up.  5/09: Waste compliance staff checking site conditions - may close or derefer.",1,"N",,2001-08-02,2001-05-03,,,,,,,,2010-08-27,,," Analysis shows no ability to pay for clean-up.  5/09: Waste compliance staff checking site conditions - may close or derefer.",3,"Formal Hearing","Y",3,"Waste","Y",3,"Informal RTC","Y",3,"Case Closed (Other)","Y",9,"Solid Waste","Y",1,"No","Y",300000000062,,0,0,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000063,200000000242,"Big Stone Gap WWTP",2,12,"W2001-06-S-0003","SW09-0444",,"VA0020940","Ralph Hilt","R Hilt","SWRO",5,"Amd. Consent Order",22,"Terminated","Letter of Substantial Completion for WWTP upgrade/expansion dated 04/28/2010, with CTO issued 05/04/2010.
Letter of Substantial Completion for I/I work (dated March 18, 2010) delivered to DEQ 09/02/2010.  Amdmt. termination effective 10/20/16.

ADDITIONAL COMMENTS:
Original order signed 12/04/2003.  Letter of Substantial Completion for WWTP upgrade/expansion was dated 04/28/2010, with CTO issued 05/04/2010.  Letter of Substantial Completion for I/I work (dated March 18, 2010) delivered during meeting at DEQ 09/02/2010.  Amdmt. termination effective 10/20/16.",,"N",2003-03-23,2003-03-23,2001-06-21,2008-02-21,2008-06-06,2008-06-13,2009-02-10,2008-09-15,2008-10-15,2009-04-28,2016-10-20,,"Consent Order","Original order signed 12/04/2003.  Letter of Substantial Completion for WWTP upgrade/expansion was dated 04/28/2010, with CTO issued 05/04/2010.  Letter of Substantial Completion for I/I work (dated March 18, 2010) delivered during meeting at DEQ 09/02/2010.  Amdmt. termination effective 10/20/16.",,,,2,"Water","Y",5,"Amd. Consent Order","Y",22,"Terminated","Y",12,"VPDES","Y",,,,300000000063,0,0,0,,,,,,,,,,,"SWRO","N","ENFORCE_DBA","RTHILT",2010-10-28 00:00:00,2018-02-01 13:46:09,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000064,200000001955,"Seaboard Farms, Inc.",2,12,"01-07-WCRO-001","BR12-0207",,,"Robert Steele","R Steele","WCRO",1,"Consent Order",19,"Terminated",,,"N",,,2001-07-13,,,,,,,2001-12-13,2009-06-07,7,,,1,"IFF","Y",2,"Water","Y",1,"Consent Order","Y",19,"Terminated","Y",12,"VPDES","Y",,,,300000000064,10500,0,0,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2012-02-02 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000065,200000001396,"Martinsville Emulsion Products Co., Inc.",2,12,"W2001-07-W-0099","BR10-0507","VA0089371",,"Jerry Ford","J Ford","WCRO",1,"Consent Order",19,"Terminated","Order issued in 2002 for VPDES and SW/HW violations.",1,"N",2001-03-19,2001-07-19,2001-07-19,,,,,,,2002-10-03,2010-05-17,,,,1,"IFF","Y",2,"Water","Y",1,"Consent Order","Y",19,"Terminated","Y",12,"VPDES","Y",1,"No","Y",300000000065,0,0,0,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000066,200000000982,"Halifax County SLF SWP092",3,9,"2001-08-PRO-603","BR10-0633",,"SWP #92","G. Marvin Booth","G Booth","WCRO",1,"Consent Order",19,"Terminated","TERMINATED

ADDITIONAL COMMENTS:
Intermediate cover, leachate, closure, and gas issues. RP paid cash portion of civil charge and completed SEP. Terminated.",,"N",2001-04-30,2001-08-10,2001-08-10,2002-01-23,,,2003-03-12,2003-03-19,2003-04-17,2003-04-18,2011-05-26,,,"Intermediate cover, leachate, closure, and gas issues. RP paid cash portion of civil charge and completed SEP. Terminated.",1,"IFF","Y",3,"Waste","Y",1,"Consent Order","Y",19,"Terminated","Y",9,"Solid Waste","Y",,,,300000000066,4900,14700,14700,,"N","N","N",300000000066,"Y","N","N",,"Installation of a solid waste convenience center.","BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000067,200000001479,"Montgomery Co. Landfill Permit #177",3,9,"177","BR10-0224",,"177","Robert Steele","R Steele","WCRO",5,"Amd. Consent Order",11,"Effective","Ongoing groundwater monitoring under Order (post-closure care requirement).

ADDITIONAL COMMENTS:
Post-closure care order",,"N",,,2001-09-18,,,,,,,2002-01-17,,,,"Post-closure care order",,,,3,"Waste","Y",5,"Amd. Consent Order","Y",11,"Effective","Y",9,"Solid Waste","Y",,,,300000000067,0,0,0,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000072,200000000277,"Bourne Residence",2,13,"PR14","PR02-0123",,,"E Cynthia Akers","E Akers","PRO",3,"Informal RTC",3,"Case Closed (Other)",,1,"N",,2001-12-19,2001-12-19,,,,,,,,2006-07-12,,,,3,"Formal Hearing","Y",2,"Water","Y",3,"Informal RTC","Y",3,"Case Closed (Other)","Y",13,"VWPP","Y",1,"No","Y",300000000072,,0,0,,,,,,,,,,,"PRO",,"ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
300000000035,200000001473,"Modular Wood Systems, Inc.",3,9,"MW1","BR10-0234",,,"Robert Steele","R Steele","WCRO",1,"Consent Order",19,"Terminated",,,"N",,,1999-03-19,,,,1999-06-10,1999-06-23,1999-07-22,1999-08-04,2000-09-11,,,,1,"IFF","Y",3,"Waste","Y",1,"Consent Order","Y",19,"Terminated","Y",9,"Solid Waste","Y",,,,300000000035,0,0,0,,,,,,,,,,,"BRRO","N","ENFORCE_DBA",,2010-10-28 00:00:00,,2022-02-09 02:56:38,"CEDS_PUBLIC"
